composition,Phase
Cr0.25 Fe0.5 V0.25,BCC
Cr0.333 Mo0.333 V0.334,BCC
Cr0.4 Mo0.32 W0.28,BCC
Fe0.1 Ti0.18 V0.72,BCC
Mo0.333 Nb0.333 W0.333,BCC
Nb0.2 Cr0.2 Mo0.6,BCC
Mo0.33 Re0.33 V0.34,BCC
Nb0.333 Re0.333 V0.333,BCC
Nb0.333 Ti0.333 Zr0.333,BCC
Nb0.33 W0.33 Mo0.34,BCC
Hf1 Nb1 Zr1,BCC
Ta1 Nb1 Hf1 Zr1 Ti1,BCC
Ta1 Nb1 V1 Ti1,BCC
W1 Nb1 Mo1 Ta1,BCC
W1 Nb1 Mo1 Ta1 V1,BCC
Co1 Cr1 Mn1 Ni1 V1,BCC
Cr1 Nb1 Ti1 V1 Zr1,BCC
Cr1 Nb1 Ti1 Zr1,BCC
Hf1 Nb1 Ti1 V1 Zr1,BCC
Mo0.7 Nb1 Ti1 V0.3 Zr1,BCC
Cr1 Mn1 Nb1 Ti1 V1,BCC
Cr1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC
Mo1 Nb1 Ta1 V1,BCC
Nb1 Ti1 V1 Zr1,BCC
Nb1 Re1 Ta1 Ti1 V1,BCC
Hf1 Nb1 Re1 Ta1 V1 W1,BCC
Cr1 Mo1 Nb1 Ta1 Ti1 V1 W1 Zr1,BCC
Cr1 Mo1 Nb1 Ta1 Ti1 V1 Zr1,BCC
Cr0.5 Mo1 Nb1 Ta1 V1 W1,BCC
Cr1 Mo1 Nb1 Ta1 V1 W1,BCC
Cr2 Mo1 Nb1 Ta1 V1 W1,BCC
Hf1 Mo1 Nb1 Ta1 Ti1 V1 Zr1,BCC
Hf1 Mo0.5 Nb0.5 Ti1 Zr1,BCC
Hf1 Mo0.2 Ti2 V0.5 Zr1,BCC
Hf1 Nb1 Ta1 Ti1 V1 Zr1,BCC
Hf0.5 Nb0.5 Ta0.5 Ti1.5 Zr1,BCC
Hf0.75 Nb1 Ta0.5 Ti1.5 Zr1.25,BCC
Hf0.8 Nb0.31 Ta0.31 Ti0.18 Zr0.13,BCC
Hf1 Nb0.18 Ta0.18 Ti1.27 Zr1,BCC
Hf1 Nb0.5 Ta0.5 Ti1 Zr1,BCC
Hf1 Nb3 Ta3 Ti1 Zr1,BCC
Hf1 Nb2 Ti1 V1 Zr2,BCC
Hf1 Nb0.5 Ti1 V0.5 Zr1,BCC
Mo1 Nb1 Ta1 Ti1 V1 Zr1,BCC
Mo0.1 Nb1 Ti1 V0.3 Zr1,BCC
Mo0.3 Nb1 Ti1 V0.3 Zr1,BCC
Mo0.3 Nb1 Ti1 V1 Zr1,BCC
Mo0.5 Nb1 Ti1 V0.3 Zr1,BCC
Mo0.5 Nb1 Ti1 V1 Zr1,BCC
Mo0.7 Nb1 Ti1 V1 Zr1,BCC
Mo1 Nb1 Ti1 V0.3 Zr1,BCC
Mo1 Nb1 Ti1 V1.5 Zr1,BCC
Mo1 Nb1 Ti1 V2 Zr1,BCC
Mo1 Nb1 Ti1 V3 Zr1,BCC
Mo1.3 Nb1 Ti1 V0.3 Zr1,BCC
Mo1.3 Nb1 Ti1 V1 Zr1,BCC
Mo1.5 Nb1 Ti1 V0.3 Zr1,BCC
Mo1.5 Nb1 Ti1 V1 Zr1,BCC
Mo1.7 Nb1 Ti1 V1 Zr1,BCC
Mo2 Nb1 Ti1 V1 Zr1,BCC
Mo1 Ta1 Ti1 V1 Zr1,BCC
Nb1 Ta1 Ti1 V1 Zr1,BCC
Nb1 Ti1 V0.3 Zr1,BCC
Nb1 Ti1 V2 Zr1,BCC
Al0.8 Cr1 Cu1 Fe1 Mn1.5 Ni1,BCC
Al1 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,BCC
Al1 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,BCC
Al1 Cr1 Cu1 Fe1 Mn1 Ni1,BCC
Mo1 Nb1 Ta1 Ti1 Zr1,BCC
Al0.15 Cr1 Fe1.5 Ni0.5,BCC
Al0.2 Cr1 Fe1.5 Ni0.5,BCC
Al0.4 Co1 Fe1 Ni1 Si0.4,BCC
Al0.5 Co1 Fe1 Ni1 Si0.5,BCC
Al0.5 Cr1 Fe1.5 Mn1 Ni0.5,BCC
Al0.5 Cr1 Mo1 Nb1 Ti1,BCC
Al0.5 Cr1 Mo1 Nb1 Ti1 V1,BCC
Al0.5 Cr1 Mo1 Nb1 V1,BCC
Al0.5 Cr1 Nb1 Ti2 V0.5,BCC
Al0.875 Co1 Cr1 Fe1 Ni1,BCC
Al0.8 Co1 Fe1 Ni1 Si0.8,BCC
Al0.8 Cr1 Fe1.5 Mn1 Ni0.5,BCC
Al1.2 Cr1 Fe1.5 Mn1 Ni0.5,BCC
Al1 Co1 Cr1.5 Cu0.5 Fe1 Ni1,BCC
Al1 Co1 Cr1 Cu0.25 Fe1 Ni1,BCC
Al1 Co1 Fe1 Ni1 Ti1,BCC
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+Sec
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+Sec
Hf1 Mo1 Nb1 Ta1 Ti1 V1 W1 Zr1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec
Al2 Co1 Cr1 Cu0.5 Fe1 Ni1,BCC+Sec
Al1.5 Nb1 Ti1 V1 Zr1,BCC+Sec
Al1 Nb1 Ti1 V1 Zr1,BCC+Sec
Al0.8 Co1 Cu0.8 Fe1 Ni1,BCC+Sec
Al12 Cr17 Fe35 Mn20 Ni12 Ti4,BCC+Sec
Al2 Cr1 Fe1 Mn1 Ti0.25,BCC+Sec
Al1 Cr1 Fe1 Mn1 Ti0.25,BCC+Sec
Al2 Cr1 Fe1 Mn1 Ti1,BCC+Sec
Al1.5 Cr1 Fe1 Mn1 Ti1,BCC+Sec
Al4 Cr1 Fe1 Mn1 Ti0.25,BCC+Sec
Al1 Co1 Cr1 Fe1.5 Mo0.5 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe2 Mo0.5 Ni1,BCC+Sec
Al1 C1.5 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al0.6 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Sec
Al0.7 Co1 Cr1.5 Fe1.5 Ni1,BCC+Sec
Al0.85 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al0.92 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al0.9 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al0.9 Cr1 Fe1 Ni1,BCC+Sec
Al1.12 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1.1 Cr1 Fe1 Ni1,BCC+Sec
Al1.25 Co1 Cr1 Fe1 Mn1 Ni1,BCC+Sec
Al1.2 Co1 Cr1 Fe1 Ni1,BCC+Sec
